City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,15.31,78,42,4.47,CA,1722658089
1,grytviken,-54.2811,-36.5092,-1.28,86,100,6.62,GS,1722658090
2,yaren,-0.5472,166.916,29.3,69,51,6.16,NR,1722658092
3,polyarnyy,69.1989,33.4478,11.19,83,15,4.51,RU,1722658093
4,geraldton,-28.7667,114.6,16.23,63,0,4.63,AU,1722658094
5,edinburgh of the seven seas,-37.0676,-12.3116,9.52,50,69,10.66,SH,1722658097
6,port elizabeth,-33.918,25.5701,9.06,97,0,0.45,ZA,1722658098
7,horodnya,51.8909,31.5974,15.99,71,95,1.64,UA,1722658099
8,north bend,43.4065,-124.2243,18.48,94,100,3.6,US,1722658101
9,iqaluit,63.7506,-68.5145,4.83,65,17,0.9,CA,1722658102
10,waitangi,-43.9535,-176.5597,8.23,87,100,2.68,NZ,1722658103
11,diamantina,-18.2494,-43.6003,11.28,96,0,2.88,BR,1722658104
12,jamul,32.717,-116.8761,26.48,55,0,2.06,US,1722658105
13,vallenar,-28.5708,-70.7581,9.22,81,94,0.72,CL,1722658107
14,anta,25.15,76.3,26.36,88,100,2.96,IN,1722658108
15,albany,42.6001,-73.9662,22.73,82,100,0.26,US,1722657496
16,khandyga,62.6667,135.6,18.45,42,10,1.94,RU,1722658111
17,egilsstadir,65.2653,-14.3948,9.31,90,100,1.99,IS,1722658112
18,adamstown,-25.066,-130.1015,20.31,78,8,4.22,PN,1722658113
19,blackmans bay,-43.0167,147.3167,13.18,57,100,0.45,AU,1722658116
20,ghat,24.9647,10.1728,26.71,15,1,1.35,LY,1722658117
21,rehoboth,-23.3167,17.0833,13.01,38,1,2.0,NA,1722658118
22,gatesville,31.4352,-97.7439,30.38,69,0,2.57,US,1722658119
23,ar rutbah,33.0381,40.2848,26.88,30,0,8.69,IQ,1722658120
24,genhe,50.7833,121.5167,20.83,44,100,2.86,CN,1722658122
25,west island,-12.1568,96.8225,27.99,69,40,7.2,CC,1722658123
26,thompson,55.7435,-97.8558,14.6,56,41,3.16,CA,1722658124
27,amarpatan,24.3167,80.9833,27.22,83,100,6.7,IN,1722658125
28,talnakh,69.4865,88.3972,19.82,59,8,1.34,RU,1722658127
29,tralee,52.2704,-9.7026,11.54,88,100,2.57,IE,1722658128
30,port mathurin,-19.6833,63.4167,22.08,65,41,4.38,MU,1722658130
31,acarau,-2.8856,-40.12,23.84,87,13,6.07,BR,1722658131
32,port-aux-francais,-49.35,70.2167,2.25,81,76,10.99,TF,1722658133
33,georgetown,5.4112,100.3354,31.96,62,20,4.12,MY,1722658134
34,lihue,21.9789,-159.3672,26.77,71,0,3.6,US,1722658083
35,aykhal,66.0,111.5,20.41,42,100,5.28,RU,1722658138
36,atafu village,-8.5421,-172.5159,28.39,74,1,7.19,TK,1722658139
37,utrik,11.2278,169.8474,28.39,74,6,1.8,MH,1722658140
38,puerto ayora,-0.7393,-90.3518,19.57,80,41,4.66,EC,1722658143
39,margaret river,-33.95,115.0667,14.43,63,32,2.65,AU,1722658145
40,new norfolk,-42.7826,147.0587,13.84,51,100,2.65,AU,1722658147
41,upata,8.0086,-62.3989,24.0,97,40,0.99,VE,1722658148
42,qamdo,31.1667,97.2333,14.5,59,56,1.5,CN,1722658149
43,sabang,5.8933,95.3214,28.33,78,88,5.29,ID,1722658151
44,nova sintra,14.8667,-24.7167,25.17,77,100,5.22,CV,1722658152
45,tefenni,37.3097,29.7754,21.98,43,0,0.53,TR,1722658153
46,sarandi grande,-33.7333,-56.3333,20.44,73,25,8.08,UY,1722658156
